instance,new_cost,new_provisioned_gb,new_usage_gb,old_cost,old_provisioned_gb,old_usage_gb,cost_diff,provisioned_diff,usage_diff,storage_type,billing_model,optimization_note
msp-storage01-datadisk1,259.07,2048,0.00,259.13,2048,0.00,-0.06,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
MSP-DC01_OsDisk_1_4bfc258a5c18434facf3f7c3f1442c9e,20.46,128,0.00,20.52,128,0.00,-0.06,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
MSP-DB02_OsDisk_1_fde0242fcfa64dbb83082ee4e2696efc,20.43,128,0.00,20.50,128,0.00,-0.06,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoqcqf-datadisk02,495.54,4096,0.00,495.61,4096,0.00,-0.07,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
cqfstorage02_OsDisk_1_e86c3ed8eace43cdb4ec2f7bf55fa8e4,520.11,4096,0.00,520.18,4096,0.00,-0.07,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
MSP-STORAGE01_OsDisk_1_4c0ed44e6a0c441ead8c75aac6b29279,20.40,128,0.00,20.47,128,0.00,-0.08,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
1.0.0,12.53,3,0.00,12.62,3,0.00,-0.08,-0,0.00,VM_Disk,Provisioned,Monitor capacity needs
MSP-MQ01_OsDisk_1_4d00017b03114565a08dba31ed88d673,496.23,4096,0.00,496.33,4096,0.00,-0.10,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
AzureBackup_connect-msp-02-blue_1090717640003261,14.13,32,0.00,14.23,32,0.00,-0.11,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqbiteam,0.27,0,11.17,0.38,0,39.17,-0.11,0,-27.99,File_Storage,Usage-based,Low impact
CQF-PRODT-104-osdisk,19.58,128,0.00,19.71,128,0.00,-0.14,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PRODT-103-osdisk,19.58,128,0.00,19.71,128,0.00,-0.14,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PRODT-102-osdisk,19.58,128,0.00,19.71,128,0.00,-0.14,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDGW01osDisk,20.71,128,0.00,20.85,128,0.00,-0.14,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
2.0.0,26.78,3,0.00,26.94,3,0.00,-0.16,-0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-105-osdisk,10.42,128,0.00,10.59,128,0.00,-0.16,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqconnect-prod-01_disk1_2b7aeb5765ef4fc3ba6f5278fbd6d47f,260.24,2048,0.00,260.41,2048,0.00,-0.17,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
PlunetCQF-Test_OsDisk_1_13d5d184999c4427a290ecc8b08c6a06,74.13,512,0.00,74.31,512,0.00,-0.18,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
LMS-DB_OsDisk_1_79d2bbb2588d4a9887547f67cfd1d6df,20.35,128,0.00,20.53,128,0.00,-0.19,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_DEVMiddleware-MSP_1090716804981068,5.06,32,0.00,5.25,32,0.00,-0.19,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cq-memoq-eastus-prod_87961001902744,1.02,1,0.00,1.22,32,0.00,-0.20,-31,0.00,VM_Disk,Provisioned,Low impact
gateway02-osdisk-20200413-140320,135.90,1024,0.00,136.10,1024,0.00,-0.20,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
MSP-RDS01_OsDisk_1_f952e100e027492fa7b3521ed068eefc,20.62,128,0.00,20.83,128,0.00,-0.21,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
DC01osDisk,20.70,128,0.00,20.92,128,0.00,-0.22,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-114-osdisk,12.04,128,0.00,12.30,128,0.00,-0.26,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-204-osdisk,13.23,128,0.00,13.50,128,0.00,-0.27,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqscribedev,0.88,0,14.75,1.16,0,17.68,-0.29,0,-2.93,"File_Storage, Storage",Usage-based,Low impact
cqfluentstrguat,19.07,0,99.60,19.39,0,231.65,-0.32,0,-132.05,"File_Storage, Storage",Usage-based,HIGH: Consider archive/cool tiers
CQF-PROD-128-osdisk,11.84,128,0.00,12.19,128,0.00,-0.35,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-108-osdisk,12.30,128,0.00,12.66,128,0.00,-0.36,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_msp-devmiddleware-eastus-staging_1090717455375456,3.64,32,0.00,4.03,32,0.00,-0.39,0,0.00,VM_Disk,Provisioned,Low impact
cqfluentstrgprod,18.52,0,98.56,18.92,0,246.39,-0.40,0,-147.83,"File_Storage, Storage",Usage-based,HIGH: Consider archive/cool tiers
AzureBackup_cq-memoq-eastus-test_87961900859756,6.25,32,0.00,6.66,32,0.00,-0.41,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cqconnect-consumer-01-devmid_87961225125765,0.96,32,0.00,1.43,32,0.00,-0.47,0,0.00,VM_Disk,Provisioned,Low impact
plunetMSDDB,38.80,256,0.00,39.32,256,0.00,-0.52,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-111-osdisk,12.74,128,0.00,13.29,128,0.00,-0.56,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH19-OSdisk0,139.82,1024,0.00,140.43,1024,0.00,-0.61,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
aksbackupstrguat,0.01,0,0.10,0.63,0,6.63,-0.62,0,-6.53,"File_Storage, Storage",Usage-based,Low impact
aksbackupstrgprod,0.01,0,0.10,0.73,0,6.58,-0.73,0,-6.49,"File_Storage, Storage",Usage-based,Low impact
RDSH06-OSdisk0,139.26,1024,0.00,140.03,1024,0.00,-0.76,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
RDSH16-OSdisk0,264.84,2048,0.00,265.63,2048,0.00,-0.78,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-PROD-201-osdisk,11.44,128,0.00,12.30,128,0.00,-0.86,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_cqconnect-consumer-01-ap_87962483113484,2.11,32,0.00,3.02,32,0.00,-0.91,0,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-115-osdisk,12.09,128,0.00,13.01,128,0.00,-0.92,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfluentfunctionsprod,4.02,0,732.61,4.94,0,884.78,-0.93,0,-152.17,File_Storage,Usage-based,Low impact
CQF-TECH-101-osdisk,10.89,128,0.00,11.85,128,0.00,-0.96,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
unifiedcqdevmidstg,0.98,0,45.14,1.95,0,231.52,-0.97,0,-186.38,File_Storage,Usage-based,Low impact
cqwatcherb860,12.87,0,2409.55,13.84,0,2562.15,-0.97,0,-152.60,File_Storage,Usage-based,Monitor growth trends
CQF-PROD-103-osdisk,11.63,128,0.00,12.87,128,0.00,-1.24,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_cqconnect-consumer-01-prod_87961385247096,3.03,32,0.00,4.28,32,0.00,-1.25,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_msp-cqfluent-prod-green-02_1090716639443709,1.05,32,0.00,2.35,32,0.00,-1.29,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cqconnect-consumer-02-prod_87962363702124,2.24,32,0.00,3.53,32,0.00,-1.30,0,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-113-osdisk,12.46,128,0.00,13.86,128,0.00,-1.40,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_msp-cqfluent-prod-green-01_1090716531533345,1.53,32,0.00,3.00,32,0.00,-1.47,0,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-101-osdisk,10.10,128,0.00,11.58,128,0.00,-1.48,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
unifiedcqconnectprod,1.06,0,48.01,2.65,0,356.41,-1.58,0,-308.40,File_Storage,Usage-based,Low impact
CQF-TECH-202-osdisk,18.04,128,0.00,19.71,128,0.00,-1.67,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqfluentfunctionsstg,5.94,0,1118.92,7.63,0,1390.58,-1.69,0,-271.66,File_Storage,Usage-based,Low impact
memoqcqf-osdisk-20241027-131909,497.82,4096,0.00,499.59,4096,0.00,-1.76,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
AzureBackup_memoq-db-cqf_87962895478164,59.63,39,0.00,61.45,42,0.00,-1.81,-2,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqwatcherfunctionapp,33.65,0,4996.56,35.50,0,5322.66,-1.85,0,-326.09,File_Storage,Usage-based,Monitor growth trends
AzureBackup_cqconnect-prod-02-blue_1090716270367917,3.06,32,0.00,4.99,32,0.00,-1.92,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_unified-cqconnect-jenkins-eastus-staging_1090715774301612,2.20,32,0.00,4.16,32,0.00,-1.96,0,0.00,VM_Disk,Provisioned,Low impact
RDSH03BeforeQBUpdate,0.00,0,0.00,1.96,32,0.00,-1.96,-32,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_cqconnect-ap-green-02_1090716607465906,0.91,32,0.00,3.00,32,0.00,-2.08,0,0.00,VM_Disk,Provisioned,Low impact
CQF-PROD-102-osdisk,11.73,128,0.00,13.85,128,0.00,-2.12,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-124-osdisk,13.23,128,0.00,15.36,128,0.00,-2.13,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_cqconnect-ap-green-01b_1090716375778282,0.78,32,0.00,2.99,32,0.00,-2.21,0,0.00,VM_Disk,Provisioned,Low impact
msp-devmiddleware-eastus-staging_OsDisk_1_7ff33139a8df4d4a927440660f29ae7b,9.70,64,0.00,11.92,64,0.00,-2.21,0,0.00,VM_Disk,Provisioned,Low impact
PLUNETPRD-DB_OsDisk_1_e46dab24931645cda59904ab66eb606c,261.64,2048,0.00,263.88,2048,0.00,-2.24,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
CQF-PROD-104-osdisk,11.42,128,0.00,13.66,128,0.00,-2.24,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AzureBackup_cqconnect-msp-02_1090716558843293,35.63,32,0.00,37.89,32,0.00,-2.26,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-106-osdisk,10.57,128,0.00,13.05,128,0.00,-2.48,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
PLUNETMSDDB-02osDisk,22.32,128,0.00,24.86,128,0.00,-2.54,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-PROD-131-osdisk,9.83,128,0.00,12.43,128,0.00,-2.60,0,0.00,VM_Disk,Provisioned,Low impact
AzureBackup_MSP-DevOps-jenkins-aks_1090715689717418,1.79,32,0.00,4.56,32,0.00,-2.76,0,0.00,VM_Disk,Provisioned,Low impact
unifiedcqmsp,17.62,0,2392.00,20.79,0,2854.30,-3.18,0,-462.30,File_Storage,Usage-based,Monitor growth trends
cqfschedfuncstrgprod,0.01,0,0.26,3.31,0,551.62,-3.30,0,-551.36,File_Storage,Usage-based,Low impact
cqfschedfuncstrguat,0.00,0,0.11,3.33,0,554.86,-3.32,0,-554.75,File_Storage,Usage-based,Low impact
pvc-7cfb0988-ad3b-4c03-b620-1b90cf88769a,0.00,0,0.00,3.40,512,0.00,-3.40,-512,0.00,VM_Disk,Provisioned,Low impact
f8a622ed1344e43338bf68f,0.00,0,0.00,3.47,0,430.91,-3.47,0,-430.91,File_Storage,Usage-based,Low impact
CQF-TECH-102-osdisk,11.03,128,0.00,15.28,128,0.00,-4.25,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
CQF-TECH-103-osdisk,11.82,128,0.00,16.39,128,0.00,-4.57,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
cqconnectnfs41,11.12,0,69.49,16.00,0,100.00,-4.88,0,-30.51,File_Storage,Usage-based,HIGH: Consider archive/cool tiers
plunetMSDWeb,136.25,1024,0.00,141.54,1024,0.00,-5.29,0,0.00,VM_Disk,Provisioned,Monitor capacity needs
AVD-HOST-1-osdisk,0.00,0,0.00,5.40,128,0.00,-5.40,-128,0.00,VM_Disk,Provisioned,Low impact
cqdockervolumes,13.79,0,68.95,20.00,0,100.00,-6.21,0,-31.05,File_Storage,Usage-based,HIGH: Consider archive/cool tiers
cqconnect,573.96,0,7097.36,580.40,0,8012.82,-6.44,0,-915.46,"File_Storage, Storage",Usage-based,MEDIUM: Review lifecycle policies
cqfstorage02-datadisk_4,2461.89,32768,0.00,2468.46,32768,0.00,-6.57,0,0.00,VM_Disk,Provisioned,HIGH: Review if full capacity needed
pvc-06f7891b-0b66-4f8c-925f-456e21c5e39f,0.00,0,0.00,6.72,512,0.00,-6.72,-512,0.00,VM_Disk,Provisioned,Low impact
unifiedcqaskpolyprod,2.70,0,365.49,10.27,0,1722.27,-7.57,0,-1356.78,File_Storage,Usage-based,Low impact
PlunetCQF-OSDisk,268.08,2048,0.00,275.85,2048,0.00,-7.76,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
f48fec17afb474218bf0752,0.32,0,5.37,8.54,0,1199.92,-8.22,0,-1194.54,File_Storage,Usage-based,Low impact
memoq-test_OsDisk_1_50afe58ea63d48c1af0e7d01cfe23e8a,0.00,0,0.00,9.25,128,0.00,-9.25,-128,0.00,VM_Disk,Provisioned,Low impact
unified-cqconnect-jenkins-eastus-staging_OS__1_1949c7d7a13a4fd1955f290195c45a0d,0.00,0,0.00,10.68,64,0.00,-10.68,-64,0.00,VM_Disk,Provisioned,Low impact
CQwatcher-Gateway_OsDisk_1_361ecb395c654462b90c654443b24105,0.00,0,0.00,11.06,128,0.00,-11.06,-128,0.00,VM_Disk,Provisioned,Low impact
nfs5467c215430146069d67,8.55,0,63.76,19.61,0,1345.63,-11.07,0,-1281.87,"File_Storage, Storage",Usage-based,Low impact
mspk8sjump-osdisk-20230720-131339,0.00,0,0.00,11.09,128,0.00,-11.09,-128,0.00,VM_Disk,Provisioned,Low impact
plunetreadrecovery-osdisk-20241002-083018,0.00,0,0.00,11.09,128,0.00,-11.09,-128,0.00,VM_Disk,Provisioned,Low impact
readreplicarecovery-osdisk-20241001-152900,0.00,0,0.00,11.09,128,0.00,-11.09,-128,0.00,VM_Disk,Provisioned,Low impact
plunetrecovery-osdisk-20241004-085826,0.00,0,0.00,11.09,128,0.00,-11.09,-128,0.00,VM_Disk,Provisioned,Low impact
CQFStorage_DataDisk_2,964.68,8192,0.00,977.73,8192,0.00,-13.05,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
cq-memoq-eastus-prod_OsDisk_1_c0ddd37eab04401bac7c1e7b5642635f,0.00,0,0.00,17.85,256,0.00,-17.85,-256,0.00,VM_Disk,Provisioned,Low impact
cqfluent-dev-02_OsDisk_1_7fe0e71bfd834d1fa308ccc5f950e8cc,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqconnect-consumer-01-devmid_OsDisk_1_b906b567abd745ff932a211b3b2d9007,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluent-jump-win-prod_OsDisk_1_05d0bf1043bb4052bb96821237add79c,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluency-cqf-jump-server_OsDisk_1_c5d5672b82454396b8dc927a5333148a,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
msp-cqfluent-prod-green-02_OsDisk_1_2c721d3cc42345eea612525fd48013da,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluency-selfhosted-agent-eastus-prod_OsDisk_1_b3570a34ccf94bf2a29b1557bbc1f8e2,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluency-selfhosted-agent-eastus-uat_OsDisk_1_06dc2368a3874efcb21631220d4dda7f,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluent-jump-linux-prod_OsDisk_1_e3c407eb62c4487ca1990df1c75cb104,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
cqfluent-dev-01_OsDisk_1_29fd7b48b86348c5a336153f1d8502c6,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
msp-cqfluent-prod-green-01_OsDisk_1_6888b685fb474e5db7eb6dc83fd69471,0.00,0,0.00,18.26,128,0.00,-18.26,-128,0.00,VM_Disk,Provisioned,Low impact
nfse1f2219865c841bc8b26,0.00,0,0.00,18.42,0,1330.21,-18.42,0,-1330.21,"File_Storage, Storage",Usage-based,Low impact
plunetcqfdb02SnapshotDisk,0.00,0,0.00,21.70,256,0.00,-21.70,-256,0.00,VM_Disk,Provisioned,Low impact
cqdomainstor,70.06,0,437.90,96.00,0,600.00,-25.94,0,-162.10,File_Storage,Usage-based,HIGH: Consider archive/cool tiers
CQFstorage_DataDisk_0,3712.12,32768,0.00,3741.09,32768,0.00,-28.97,0,0.00,VM_Disk,Provisioned,HIGH: Review if full capacity needed
cqconnect-ap-green-02_OsDisk_1_5d0e687657794227a40008cc902d7352,0.00,0,0.00,35.22,256,0.00,-35.22,-256,0.00,VM_Disk,Provisioned,Low impact
cqconnect-consumer-01-prod_OsDisk_1_02dc96c3f7744886861b2c58c5d671cc,0.00,0,0.00,35.22,256,0.00,-35.22,-256,0.00,VM_Disk,Provisioned,Low impact
cqconnect-consumer-02-prod_OsDisk_1_79f6f386ce7f419bab822a4a845cafbd,0.00,0,0.00,35.22,256,0.00,-35.22,-256,0.00,VM_Disk,Provisioned,Low impact
cqconnect-ap-green-01b_OsDisk_1_8cfb2552abfd4074bb6e6327a956fb0a,0.00,0,0.00,35.22,256,0.00,-35.22,-256,0.00,VM_Disk,Provisioned,Low impact
CQFstorage_DataDisk_1,227.09,2048,0.00,263.07,2048,0.00,-35.98,0,0.00,VM_Disk,Provisioned,MEDIUM: Check actual disk utilization
drmemoqdbtest-osdisk-20250530-213502,0.00,0,0.00,63.46,1024,0.00,-63.46,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbtest-datadisk-000-20250530-213502,0.00,0,0.00,63.46,1024,0.00,-63.46,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbtest-datadisk-000-20250530-145318,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbcqf-datadisk-000-20250530-190121,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbtest-osdisk-20250530-152616,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbcqf-osdisk-20250530-190121,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbtest-datadisk-000-20250530-152616,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
RDSH05-OSdisk0,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
drmemoqdbtest-osdisk-20250530-145318,0.00,0,0.00,76.04,1024,0.00,-76.04,-1024,0.00,VM_Disk,Provisioned,Low impact
plunetcqfdb02-osdisk-20250113-174336,78.53,512,0.00,208.59,4096,0.00,-130.06,-3584,0.00,VM_Disk,Provisioned,Monitor capacity needs
memoq-cqf_OsDisk_1_4e607a435f424597a53e5937a8b8491a,0.00,0,0.00,159.55,2048,0.00,-159.55,-2048,0.00,VM_Disk,Provisioned,Low impact
memoq-cqf-datadisk,0.00,0,0.00,159.55,2048,0.00,-159.55,-2048,0.00,VM_Disk,Provisioned,Low impact
drmemoqwebtest-datadisk-001-20250530-144936,0.00,0,0.00,232.66,4096,0.00,-232.66,-4096,0.00,VM_Disk,Provisioned,Low impact
drmemoqwebtest-datadisk-000-20250530-144936,0.00,0,0.00,232.66,4096,0.00,-232.66,-4096,0.00,VM_Disk,Provisioned,Low impact
drmemoqwebtest-osdisk-20250530-144936,0.00,0,0.00,232.66,4096,0.00,-232.66,-4096,0.00,VM_Disk,Provisioned,Low impact
connect-msp-02-blue,0.00,0,0.00,240.00,2048,0.00,-240.00,-2048,0.00,VM_Disk,Provisioned,Low impact
cqconnect-msp-02_disk1_928f11db7a73434c9dab015ca72a5eb8,0.00,0,0.00,240.36,2048,0.00,-240.36,-2048,0.00,VM_Disk,Provisioned,Low impact
plunetreadrestore3-osdisk-20250113-124052,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
plunetcqfdb02-osdisk-20250114-112530,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
plunetreadrestore3-osdisk-20250109-174121,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
PlunetCQF-DB02_OsDisk_1_1bdfa7b65c1d4ca2b5603d9c0a762b70,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
plunetcqfdb02restored01-osdisk-20250113-150950,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
plunetreadrestore2-osdisk-20250109-161327,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
plunetreadrecovery05-osdisk-20250110-035617,0.00,0,0.00,278.78,4096,0.00,-278.78,-4096,0.00,VM_Disk,Provisioned,Low impact
cq-memoq-eastus-prod_DataDisk_0,0.00,0,0.00,444.17,8192,0.00,-444.17,-8192,0.00,VM_Disk,Provisioned,Low impact
cqconnect-prod-02-blue_OsDisk_1_c2c9cfaaf1204e98b440ef667596af23,0.00,0,0.00,459.12,4096,0.00,-459.12,-4096,0.00,VM_Disk,Provisioned,Low impact
cqconnect-prod-01-blue_OsDisk_1_4feaa7be39404288bb70531285bac7af,0.00,0,0.00,459.81,4096,0.00,-459.81,-4096,0.00,VM_Disk,Provisioned,Low impact
drmemoqwebtest-datadisk-002-20250530-144936,0.00,0,0.00,1692.06,32768,0.00,-1692.06,-32768,0.00,VM_Disk,Provisioned,Low impact
